-03- -2SS
12zg --qo
1459 --sj
14p4 -14v
16Bu -06-
17T7 -1Va
18kP -3OH
19RN -1Iu
1Ba8 --j8
1C_s -2G5
1EQ_ -00J
1Ek_ --6t
1HhE --ZY
1IjI --kG
1Ite --G8
1L7T -0oD
1MLo --P9
1NU7 --TR
1OuM --6Y
1P1P -2vD
1P2f --Gq
1PpX -3Ul
1QYT --JB
1QjH --z1
1R9C -2HB
1Sdi -0Km
1SoT -0Dd
1TZs --l7
1Vsm --0X
1VvK --cs
1WDE --K1
1YP2 --h1
1ZHV -2zW
1ZIF -0dM
1_3h -0RB
1cWU -26G
1e0g -0AX
1fZl --aD
1hLb --TZ
1hx6 --2A
1ij9 --pe
1ixj --GX
1j7v -04v
1k1A --ZQ
1kK0 -0ug
1kgw --lY
1kjE -0WT
1lDK --vQ
1lVV -2Ze
1lbz --x1
1m_- --Li
1n-J -2HV
1p8_ --em
1pEc --ec
1r_w -1gL
1s40 --KG
1sQQ -0br
1sn5 --JA
1tkZ -2lv
1vPa -0kU
1wo9 --V9
1x1J -1--
1xFw -0VF
1z6x --bh
1zA8 --6Q
1zM_ --3n
2-3c --4-
2-iD -0Fd
2-qM -0fG
20Q4 -2PD
22-q -0Nt
22QH -0QS
23Ei --QK
24RF -3hV
25gf -1N_
283G --eR
28LO -05t
29AP -2Hc
29wc -0Mn
2A75 -0dr
2AWA -1RM
2B77 -2aK
2BVl -3Sq
2DCC --9h
2Dnn ---A
2EXW --2J
2F_m --LA
2HKv ---M
2I-q --5y
2IV0 -0Zo
2JOy --h-
2LZn --SZ
2MT1 -1np
2Nbe -10g
2QWY -32H
2Qel --OU
2QsE --GT
2RBh --WM
2RD1 -0_C
2SIG --c4
2SVI --Z0
2Sk6 -08t
2TUP --7Q
2Vn8 --Ia
2W9g --pB
2WLA --xI
2ZMb --TL
2Zp9 --_D
2ZyN -3Sh
2_Uy --Iq
2_We --PY
2_gK -1cg
2_uN -2-G
2a8l --57
2aka -17m
2ar1 --KP
2cUh --Mm
2dX7 --DG
2e6T -2Sr
2fZ1 -0qg
2hAE -0x8
2i-B -1GD
2i6U -0tX
2jLY --mN
2n6C --_2
2oH7 --9a
2q6o -1Ae
2sCb --aY
2sNb -1wh
2sg6 --0G
2tTv -0xh
2u0e --AN
2unE -1km
2x94 --hm
2yhQ -1uR
2ztR --rZ
3-Mj -0sM
30og -2Uw
33jz --mM
34OQ -04y
35ti -2ik
362I --IN
38-H --Fi
39Iy -1Iq
39Q8 --6W
3A_0 --GY
3Ayo -1ar
3B36 --2j
3CVl --C0
3CmY -0XI
3DtW --JW
3EIA -222
3FPu --c7
3Fgf --At
3Gk1 --ck
3H4l -3J-
3HR- --47
3Hq1 -0D9
3I_s --uu
3IbF --gZ
3JSq --4d
3K52 -2T2
3Mq8 -1wo
3NBY -0qs
3NjF --ez
3PFx --MX
3PZY -28r
3Pnh --cW
3QQV -0D3
3SQ5 -04o
3Sa5 --BF
3SbT -1It
3Swt --Ky
3VOr -0hQ
3W0G --EE
3WXG --r2
3X1K --KU
3YIO -02o
3YMW -26k
3ZU4 -04H
3Zyl --Ut
3_-c -3Bb
3_E8 -0YC
3_ho -2zh
3aLE --yd
3agD --bp
3boa -0Mb
3cHU -01z
3d-X --Tv
3dlO -0uD
3eQ0 -3L0
3eQk --RN
3eRe --sr
3f3F -0hh
3fzw -1fM
3hAU -05A
3hUa ---g
3nfg -2Ab
3qTy --OG
3qlQ --5G
3rrL --73
3s7b --zw
3sRO -3oz
3soq --dc
3suw -1pQ
3tuy --9w
3uX4 -0Hb
3vEO -0af
3vtS --rc
3xLV --lI
3yZ9 --ID
3z5d --l6
3zK0 --Hz
3zgG -2zf
3zkJ -09q
3zt5 -0l3
4-wq -032
41pK --5e
43WG --05
45sI -03Y
46gu --H8
46sc --Av
47uX -0WA
48U2 -0Bl
497J -1yB
4Axg --zL
4BWq -18r
4C63 --wy
4CZE -2Ek
4DD_ -0ok
4Dfw -0f7
4EPG -2iT
4EcE -0B0
4FaC -0En
4Fc- --h7
4Fty -3CT
4HfV --Cz
4HvW --k8
4IcT --R1
4Iu6 -0Uw
4JZn --vA
4L80 -1bo
4Lqv --kl
4M2M -1_8
4M5M --zs
4NIz -1Po
4NnI -0G9
4OQ3 --44
4PU3 --6B
4PlE -2MU
4QLP --lO
4Tc5 -3Fz
4U0h --Rc
4U4X -0YD
4VMP --pM
4WCG --JK
4X7v --QX
4XTC --Gk
4YOX --E6
4YTh --c1
4Yta -0JG
4_Ss --5P
4_eX --8G
4bb2 -1Xl
4chm -1Gr
4cnb -2w9
4ejf -1hp
4fg4 --_o
4fpb -29o
4gtL -1QL
4hM2 -1vL
4iI3 --K9
4iV- -2-O
4imx --fm
4kQ- -06s
4kUH --2b
4kwH --ST
4mT6 -0is
4p62 -0O1
4qKe --84
4qe6 -0GM
4qfP --_R
4t6a --KE
4tX5 -2Dq
4wb6 -0qD
4xur --OC
4zE2 -0D_
4zIh --56
5-KA --Dg
5-Rp --CU
50FX --HI
52PW --Gh
52R8 -0XM
54_2 --wY
56H8 --jE
56y_ -307
58F6 -0Ks
58K8 -0Fy
5ArD -2mo
5BIY --m0
5BJ9 --Fe
5CZE --a8
5FnS --KK
5G3c --qC
5I35 --va
5IP6 -0FB
5Ig5 -15B
5JDT -1yP
5JIK -0yy
5JcL --QS
5Kk7 --B0
5Kwt -1nl
5LDv -11_
5LGw --xr
5Llh --SS
5NDA -1RD
5O4T -2I-
5O4b --MK
5OO8 -1o9
5PLr --1x
5PS2 -0Xg
5Q2V --dv
5Q3z -1Ee
5RB1 --1s
5RYz -1N8
5TD4 --ta
5Ud6 --70
5WP4 --H7
5XMM --6k
5Y_v -0cc
5YpF -0C9
5ZLw -0Nr
5Zgf -2Yr
5_mh -0MW
5bPW -06G
5cVv -06m
5cos -0xH
5cyJ -140
5cyO -0Eg
5dM_ --KS
5d_j -1TJ
5fQz --ud
5fyQ -22q
5gWq --Px
5hJz --m9
5hkX --YU
5hzS --Um
5iS6 -19S
5jwf -3So
5kZA -2X7
5k_a --K2
5kpD --Cm
5mgB -0w7
5nfL -0mI
5oBZ --VE
5pRq -0om
5pdY --1g
5s0y --Ed
5saC -3Ha
5sel -3Z-
5t5X -3Um
5t85 -2-o
5tNb -1UP
5tkc -1JR
5u7g -0ig
5ubU --3g
5vAS --vs
5wBy --SW
5xY_ -1il
5y0p --0D
5yo4 --z3
5zDy -01t
5zE5 -08a
6-2d --Lo
6-sS ---V
600R --j4
60Bu --8L
60Yj -0vS
61d_ --Xh
61vK --Q5
61yg -0dy
64LL --BE
678d -0au
68Ft --Nc
68XY -0G8
68yk -002
6ABW --5x
6AQc -0OV
6BFq -1BJ
6CjL -0sj
6DeS --bX
6EWx --vc
6HhB --kO
6Hm9 -2Zz
6I23 --2g
6JIu -0QQ
6NFR --Dl
6Nqn --D4
6SAh -0VH
6SeQ -0HC
6SgI -084
6Sp- --1-
6TVp --9M
6UG7 --xS
6Uju --Ll
6W2E -2uw
6WiL ---k
6WmZ --8b
6YxO --Zd
6ZIN -1pN
6ZNf -0g5
6ZqM -2-v
6_Lc --Lz
6aRC --Y9
6adk -0Nz
6cOP -1dM
6ceu -1JT
6d3I --qS
6dXm --Oh
6f1I -0ys
6f1X --Gr
6fl3 -1kb
6gRP -1FA
6gvB -0TU
6jxK -1VS
6l3n --NZ
6o0n -05F
6ouR --sk
6q7K --_4
6qE- -0G4
6rZZ --K6
6tAp --NG
6taO -1la
6tfL -1cp
6u7S -15W
6uq6 -0Q2
6vQU --lg
6vZI --EB
6yiE -210
6zU1 --UO
6zim --0U
7-GF -0YB
72Nd -0Fz
72g7 -01m
73Qe -06C
740I -08s
749P -0Sp
74LO --5R
74UD --D-
79XE --cL
7A1_ -0Ro
7BDG -14V
7BgS -21O
7C8U -0ie
7Cqg --Ev
7ES1 --Jz
7F8t -26d
7FFb --j0
7Fn9 --Ak
7Fz1 -1M3
7Gwc -05w
7HZP --A9
7INa --wi
7Iz_ --Ee
7KPo --8D
7KbC --91
7Kt1 -12S
7M5z --1O
7MHy -3HA
7M_u --zc
7Mqy --4E
7OkM --Il
7PZi -2d_
7Q1J --nL
7QyX --tu
7R6o --9C
7RxG -0q1
7TjX -0lt
7VDx -1t1
7Wn8 --D0
7X9I --Zo
7XYb --uG
7Y8g --fM
7YBS -0X6
7YwB -09K
7_KW --Xn
7_lr -11R
7_rF --N1
7b0X --aO
7bbf --BR
7d3M -1Hj
7eFC --XI
7eo0 -3b3
7fHF -02-
7gmm --Qw
7gzH --rL
7hCs -1oU
7iD5 --wz
7inS --Mh
7ivi --sX
7iyH --K4
7j_x -08C
7jun -0rr
7mMn --c2
7mix -0o5
7mkA -0S3
7mq1 -15Q
7oDr --LW
7oNw --4h
7qDD -1I5
7r9H --mB
7rIQ --jY
7sxs --9N
7t_b --Mo
7uKB -3-e
7uyw -0cv
7xGB --Ch
7yU- --Dy
7yey --PA
7ywi ---O
7zOq -3ow
7z_T --a5
7znp -15e
7zwB --ft
8-Ov -1zq
81hz -1Gp
81iy --JP
84qj -1kj
85_V -0b4
86Ci --Na
87TS --If
88RC --1P
8909 --P2
8ABP --lo
8AUX --F5
8AYe -03E
8B9S --XB
8CFa --qV
8CH0 --bO
8D8d -0EK
8DSR --Xo
8D_2 -0vf
8DyD ---I
8EN- -2W1
8Ewd -1cV
8FLi -2lk
8Fig -0fY
8GGw -1-d
8I8b -0SD
8K7U --Jy
8KQ5 -3Ju
8KY7 -1mA
8Mrm --8B
8OAe --7S
8OOz --BQ
8PCq --5F
8Q9F -2NK
8T1o -1iH
8UF1 -0W_
8Uhp --TP
8V4P --hH
8Xta -27s
8XxU --B4
8Y08 --tC
8YUo --VI
8Z9M --1D
8Zcc -05s
8_2a -3Wm
8c9O -2Av
8dJx --ga
8ecU --LC
8feZ --mT
8gxU --9i
8hKH --Rg
8hzr --6q
8iAc -2sZ
8iYg --X_
8j2i --oR
8k8V -0Pa
8kHW --cB
8kb_ -2BK
8mT2 --bQ
8n4L -0A1
8pZm --ee
8qYo --C1
8qt8 -3HL
8sDD --N7
8sMS --7o
8uOx --4u
8uSM -29x
8v9I -3ip
8wtV --8Z
8xOa --0J
8yoz -11m
8yyl -1c8
8zFb --lc
8za7 --IB
8zbH -1Ei
9-Ki -31x
9-Q6 -2gZ
9271 --vp
96as --o9
97sv --cK
9A4h -1NQ
9Bn1 --Pj
9Cx_ -1Wc
9ENS --3J
9FNE -35r
9Ghs --xA
9Gis -1c2
9H1a -3ih
9Ja0 --sP
9JeQ -0xm
9Juw -0dp
9Jzj --3E
9KJn -3s9
9KnM --r_
9Kri -0k4
9MZo -0CN
9Mdv --3q
9Mis --vw
9Mmj -1hA
9NpK --XK
9Nrb -3C1
9Nty --W0
9OBS --lq
9Pcv -1Vk
9QQ3 --xC
9Qa6 -2tP
9R5E --4W
9R85 -0v0
9RhG -0je
9Rio -05J
9Rsr -1cA
9Snb -2Tz
9TU9 -1O5
9T_l --4Q
9UFf --zG
9UHq -0IT
9VR2 --yP
9Vz_ -1oc
9WG3 --FX
9Wp5 --Q_
9XCc -1lC
9Xm3 --Bm
9Xw3 --Aw
9Yso --D_
9ZHE -2rM
9ZZI -1GH
9_Jc --0P
9a-s -0NM
9c2T --22
9ec0 -0GU
9hBu -0mM
9ier --bH
9lGg -0CG
9lIs -0rH
9nNQ -0Fp
9oRe --HG
9qTq -269
9qd4 --Hu
9qoK -283
9r2X -0Wx
9rVJ -2rj
9s7I -05r
9uMt --OT
9ugt --5m
9v7L --0i
9wcM --Uk
9x3S --7e
9xIm --35
9ymv -1e4
A13i --Fd
A1Fv -0w0
A1fK -2Qs
A1sC -07P
A2HS -2E0
A66Y -3Ec
A7Y7 --1J
A8NW -0wr
A9DW --97
A9IS -3hv
A9sn -3PI
AAaG -0qr
AArC -2qH
ABBl --YZ
ACZN -1Yr
ADS6 -2cZ
ADWY -3e7
AG0h --VJ
AGlL --6C
AGzx --z0
AJlY --fl
AKfE -0pS
ALWV --7M
AMq2 -2uT
ANTn --3B
AOha -0gA
AQpv --Eg
ARjl -1aX
ARmr -0ZQ
AThv --S3
AV48 --pH
AVNA --BP
AVeG -0kS
AXYt -1zz
AYCD --bt
AYFp -2xi
AYZn --7q
AZCq --8e
A_9F --gJ
A_9l --Kg
A_Hn --DK
A_rL --en
Aa0K -0Lg
Ab0R -3ZQ
AbFX --Ff
AbtH --Ho
Ac2X -3cX
AeXf --8H
AfL_ --zy
Agbw ---c
Ah2t --w9
Ah79 -3R7
AhLp ---J
Ajgb -0Md
Akto --YK
Akvj --dt
Ale7 -0L6
Am7c --vG
AmoM -0CZ
Amq9 --PH
AnCE -1k-
AnOl -2m_
AoAw -0_7
AqK2 -2NN
AqKN ---D
Ar_0 --DI
AsBk --Mq
AttO -02u
AtyL --Sa
AwAL --fW
AxXB -2gE
AyMp -1Ln
AycU --cE
Ayig --G3
B-un --w_
B1cV -2k8
B2RX -3Oc
B2m7 ---o
B3qP -1fl
B4Wn -0qY
B5IG -1ma
B5yT --UV
B6q5 -04i
B97a --8P
B9Ks --Ci
BB7F -02X
BCv7 --OV
BDV- --C_
BDWl --Ct
BDYH --aX
BDeF -0ZL
BDoN --U7
BDxh -1dW
BE-c --L0
BEG3 ---5
BEGe -08H
BEV- ---C
BFqd -2e-
BIT4 --Xx
BJpt -0xi
BKNQ --r7
BKuQ --Do
BL1S --D2
BLP3 -0Db
BLty --WL
BMQW -0vG
BNCY --Jk
BOAy --ke
BQaU --X6
BR5m --gx
BS9- -0Lw
BSKF --7p
BTxd --dP
BWgf --LL
BXvJ -0Ug
BYSo --PX
BYWr --nI
BYZk -31z
BZi_ -1wT
Ba32 -311
BbD1 -2b8
BbkB -12n
BcUP --Kc
BcZ8 --_N
BcwI --Ui
BcwW -2Ao
BeEV --C6
BgIh --8c
BgjH -3Ox
BgwS --cc
Bhbv --Db
Bi1f --A5
BiAw --Ir
Biu9 -0nH
Bj1x --p3
Bjqq --g0
BjyT --4S
Bm7V -1pO
Bobm -0OI
BphU --J0
BqBs -2cT
BqQ9 --4l
BrCh --82
BrQc -1I3
Bsdk -0wO
Bupx --Mz
Bv9F -1A5
Bw4x --9Q
BwKk --Z2
Bx-x -0eQ
Bx7E -2gY
BxtJ --oI
BzPW --77
C-8I --1z
C-Um -0o3
C07U --AM
C0lw -0-G
C2Tv -1-e
C3SP --uX
C3wy -094
C41Q --ne
C4nk --rq
C5_P --1b
C5qO -10V
C8v5 -0Yt
C9YK -3Ut
C9s- -0k_
CAIU -3Iw
CAJF --Br
CCi6 -0RC
CDX- --3L
CDhI --gT
CERF --IK
CEVt -3rJ
CEnf --UZ
CIu3 --ij
CJGE -0D5
CKWC --7y
CMMq -1cw
CMyt --fq
CNCc --WW
CNRf --Ly
CNh1 ---u
CO0P -08x
COGl --av
COUd -0FI
COZA -1lG
COac -3ZB
COqU --HS
COvO --p4
CPCP --ds
CQRa -1IF
CR8u -0ZO
CRRc -3dd
CRwK --Lv
CS6s -11u
CSYL -3Yt
CSlu -0N0
CUHq --GE
CVWJ --VP
CVaI -1LM
CVjm -3W1
CWLN --WH
CY9f --yW
CZ-9 --Og
CZA2 -1-l
CaZt -0yj
Cccm --kp
Cdml --95
Cf8X -0JV
CfFj -2Lq
CfWI --YF
CfhW --Yn
Chka --6w
Chvv --qt
Ci9d -10c
CjS1 --IJ
CkMB -0eh
ClAr -1ok
Cln2 -07c
ClxG --9t
Cogr -2kL
Cp9W -1K4
Cpeh -0PA
CqDQ -03F
CqHR --Da
CrWD --jk
CsZU --zu
Cset --R9
Ctyi --Wc
Cu8e -0lQ
CuKr -3Jb
Cuol -0yG
Cv9a -0tR
Cvpk --mu
Cw0Q -36L
CwL3 -0NI
Cxlv -2oz
Cybd -1hZ
Cyjl --Nb
CzXb --ku
Cznp -2Hg
D-u5 -1uP
D21O -0TW
D3Mz --ex
D3tI -2jc
D4JQ --NQ
D6jR -0yP
D8C1 --f-
D8wv --Z9
D9E1 -02M
D9Kx -20_
D9Z4 -0WL
DBiE -1xn
DBkh --LY
DBt6 -2of
DCqY -1Zh
DDIj --gY
DDQ6 -0Wv
DE-h --8K
DELm -0u3
DES6 --8I
DF23 --8f
DFd2 ---1
DGC1 --Xd
DGVJ -0My
DGah --eq
DGfY -0DC
DHAK -0gH
DInn -18n
DIxa --hu
DKc6 -09y
DKve -0j_
DM8h --hC
DMsb -1F9
DNCg --Ip
DNiR --0I
DPf6 -0hD
DQjn -0ZC
DRck --at
DS2u -2QI
DS4h --8X
DSDu -18d
DSpY -0kF
DVNt --xy
DVfz --on
DWD3 -2h_
DWwj -2KC
DXxD --2Y
DYOL --5k
DZ2l --4L
D_eu -17B
DafM -0jw
DanH -1Zp
Dbaz -11k
DbeW --qA
Dce8 --2x
DdDe --Re
DdQe --9T
DdXz -3-Q
DdcE --I7
Ddyg --_p
DeTv --9X
DfdG -0Gs
Diqt -03l
DjgB --6m
Dkhi -0u6
DlzG -0HT
DmBn --Q-
Dnrv --bq
DoTf -0PT
DpJ5 -1Sa
DpWo -0Vc
DppE -1KX
DqMS -0ga
DsZo --Rz
DsoW --2n
Dt1b -0L1
DtEO --mL
DtYr --Oe
Dujp --Ps
Dy2Z --7F
Dy78 --Zj
DzP8 -22w
E-Dc --B2
E-cj -2RY
E2D_ -1RU
E2g7 -2CB
E3do --JD
E4kD -0BK
E5YH --__
E5xc --Oj
E6rF -08e
E7AE --Yj
E7ao -076
E8G- -3aQ
E8uB -0KI
E99g -3Mb
E9uU -1eZ
EDsS -0K0
EF0m -0nf
EFAj --2d
EFfv -0XA
EH8N --M7
EI12 -0P_
EKHT -1Rb
EKxA --dp
ENFJ --8F
ENSI -3-Z
ENXn -0GH
EOl_ --TE
EQHm -0ZW
EQWn -0im
ERNr -1ea
ERbf -0Cs
ES6t --S-
ESRo -3ZO
EU7H -0yx
EUPn -23Y
EUXW --Wh
EU_6 -0ph
EUet -1sx
EWK8 -03g
EXLR -2h7
EYl_ --20
EZ15 --Zy
EZAB --9B
EZR- --XM
E__k -0r5
EaFp -1J5
EbcF --78
EbsP --Ud
EcP0 -2KW
EciV --hW
EdAj -052
EdRM -1Qy
EdiF -04t
EkKp --XZ
El3k --Dr
ElSm -2Sl
Em5G --ES
Ep2P --8M
EpIm --Rh
Epes --v9
ErHu --ts
Erde --Si
Ere_ --5i
ErzA -3kR
EtGd -1GP
EtPh --9F
EvUD -0td
Evc8 --wM
Ex-6 -0Gv
ExE5 --2w
Exky -1B8
EyFV --_P
F0ie -2Yo
F24m --Bl
F2Rc -1CV
F3mP -1pf
F4AD -0ag
F4_D -0gn
F5CF -2c-
F5ne -0nY
F6Ff -0Jh
F6Yg --xK
F6ZX -0OZ
F6dC -0l2
F8_1 --Q6
F8rF -21g
FBZC -0h9
FDx8 -2vV
FE3a --89
FEBv -07_
FEOq --rT
FEbZ -3p0
FFZT -1Rz
FFt1 -0iF
FG9A -0FX
FGEK -08S
FJU5 -0sb
FLQs -1hj
FMoW -0aW
FNDz --0x
FNQE -06t
FNR_ -1Gs
FNw9 --7G
FNxh -0ax
FO2y -3-G
FOfB --Ha
FPNR --OJ
FPVJ -07n
FQ32 -0UJ
FQ5P --6F
FQki -3iQ
FQm1 -0g4
FQmB --8n
FT7G --2U
FUyp --FW
FV1q -0Kb
FWAS --H0
FX-s -16D
FZNF --i-
F_1f --MM
Fc7V --VQ
Fcy9 ---i
Ffzm --00
Fg9c --_H
FgL1 -16e
Fhax -1LB
FiFI --MQ
FiGd --uT
FiZP --o5
Fj4h --CC
FkdK -19H
FmVk -1P5
FmhD --L6
Fn-U -00c
Fn3D -0-z
FnB7 --5a
FnLa -0L2
FnNq -012
FpAB --VH
Fq1j --1R
Frpp -0z4
Fryx -10n
FsMn --jf
Fthq --jB
Ftpy -2Qk
Funt -18k
FvUk --ze
Fvib -01X
Fx8W ---B
Fz-l --iL
FzHv --Sw
FzL- --nE
G--4 --rC
G-0j --ML
G0dx --3Y
G0nf -1iy
G2Rb --gN
G30U -2Wq
G40o --Xb
G4M3 -02c
G5Br --YQ
G5R4 -0CM
G6di --zh
G7Up -1_h
G7ZZ --9A
G8zs --VF
G9WI --Xq
GAGf --41
GAJz -1HR
GAXt -2WS
GA_m -19M
GCLU --Zg
GD7B -1lO
GEuy -0Bn
GEz2 --So
GF4G --P7
GF8d -1Id
GG0G --ji
GGYI --M_
GHF5 --Nf
GI5V -0ts
GIOG -0n1
GIy1 --67
GKWb -1fJ
GKsF --Iz
GLXE -13a
GMm3 --3w
GOXI --Su
GObG --4m
GOdn --QZ
GP26 --B8
GPj8 -2B_
GQqh --Ns
GR9D --Gt
GReJ -3RU
GSW5 -1uV
GT31 --oF
GTth --7H
GU4Z -3kg
GU6s -3DQ
GUAo --AV
GUHh --IZ
GUgq -0fA
GVMt -0ub
GWC6 --5N
GWEL -028
GX2O --WD
GXa1 --HP
GY7k -02T
GYNy -06c
GYdj -0jB
G__Z --N2
G_tI --3p
Ga8X --m8
GbAW --Bs
GbC9 -1AC
GbFE --3b
Gbk0 -0Y-
GbmZ -0MQ
Gd73 --p_
Ge-e --3F
Gf5r --Hk
GfHF -1Je
Gfcy --xL
GfhM -3GN
GfzN --vS
GgH8 --6z
Gh7l -3jC
Ghb3 -1BM
Giyb -1_s
GjTk -0ky
Gjsp --2q
GkZi --2t
Gkr4 -170
GlAT --72
GmNH --cH
Gmek --GA
Gmt8 -3jn
GmtM --45
GnIP -2JB
GnSd --Ck
Go6B --6l
GoAu -0XH
Gq25 -1m6
GrJ_ --XX
Gru6 --iJ
GsK0 -1i7
GuEl -0XB
Gv1z -0n3
Gw6p --28
GwLU -0CE
GxSU --BX
Gxg6 -057
Gy4s --XT
GyIA -1N-
GyXo --3M
GzgX -2Gm
H-Gb --cY
H0br -3lI
H1cw -0nb
H2ES -2E8
H4VR --XU
H7rI -1bt
H8m9 -0xb
H95p --KZ
H9UT -0Hl
HB1F -2yp
HBOF --li
HBQe --WB
HB_K --Sj
HByO -1Zc
HCI2 -1A0
HCPa -1QQ
HCcp -1T6
HD7Q --gR
HDaY -00y
HEIY -1a6
HESY --KH
HEp7 --AQ
HFM9 -03a
HGE- -0s6
HGFL -0cH
HHl5 --AF
HHnf --6g
HHrz -1OJ
HIDP --LN
HJFP -2LH
HJJR --TJ
HL4J --kx
HMfs -1A8
HO6s --13
HOV6 --25
HOWu -20c
HOm8 --8C
HPG_ -0-7
HPdO -0LK
HQR1 -1SY
HQaM --ff
HUFd --2I
HWz- --hh
HYG2 -0hK
H_Pd --Sy
H_Q8 -03W
H_sN -1mo
HbXw --Tc
Hbtt --Df
Hc7H --9-
HczC --z-
Hexx -34G
HgIS --Co
HgpN --u9
Hhxj --g5
HiVh --oM
Hifa --cq
HjIM ---0
HjpT --XP
HkNc -00z
HkeI -1PI
HlYD -2pY
Hlfy --D1
HmuE --Ie
HnUF -0yE
HoVy --XW
Hq4T -2fU
HqFN --QB
Hqi- -1Pr
Hqpu -2zn
HqsR -2r-
HrJ5 --Z-
HrWe -0E9
Hs7U --0y
Huuw -0mc
HvqG -1DH
HwEg -04p
HwXs -3Pi
Hy-v -0AE
HyDk -2pg
HzJH -3IV
HzSd -0rM
I-AN --e_
I0b5 --6i
I0p4 --7c
I1sn -078
I3hi --qY
I3jY --uj
I4La --I0
I4pf --s5
I5n9 -3ay
I5rY -1cL
I81v --Ju
I9Gj --4n
IAdx -3aU
IBFo -1cS
IBX8 --oH
IBa4 --mC
IBzq --aU
ICNf --jt
ICQw --Hm
IDuX -1bn
IEef -1_3
IFfO --wZ
IGUV --8O
II16 -1ca
IIf6 --iy
IK4Q -0cT
IKEV --NX
IKMR -0Vu
IKok -1mh
IL2t --OO
ILLA -0Gg
IMJy --GG
IP0a --Gy
IP_d --by
IPbq --8m
IQEW --3s
IQUl -0ID
IR2m --JF
IS8u -3rp
IT-z -0Rw
IT4Z -3W0
ITmj -0di
IUsZ --Gx
IV3Q -0W5
IVjn -10h
IVzl --El
IX_l -18-
IZ8n -0OT
IZKN -1SJ
I_h4 --Vc
IbWx --y7
Icgr --BL
Id-- --Sh
IeUJ -1C-
IepB -09U
IerQ -0el
If1U -2d4
IgZa -3JB
Igpp --j9
IhmC -2km
IicX --zt
IjYk -0n2
IkY7 --fi
IkmM --6P
IktE -0yZ
IlTK --PU
Imbw -0u2
InHX --1U
InVz -2a8
IoCO -2dl
IpGu --A-
IpZd --4U
Iq6m --Sz
IqMp --g8
IqvQ --FO
Itc6 -1oy
IuRo -0IF
Iun- --71
Ivth --s6
IwoR --XC
Iwys --De
Ix_i --SJ
IyEO --kg
IylA -22n
IyyN -2p0
J01n -2vr
J2qs --A8
J3bQ -0Od
J3k5 -06i
J8e_ --JU
J8zQ --5O
J9zz -05K
JCy- --68
JDnn -1kP
JEIA --ue
JEsm -1pJ
JFGm --L8
JG02 --c8
JGwP --ZO
JHXl --ct
JI68 -05_
JK4a -0Yq
JKyv --WR
JL-2 -0jm
JL8O -0Jk
JMvS -1WD
